,Business Day of Week,SCO Lanes,Lane Hours (hh:mm),Time Available (hh:mm),% Time Occupied,Avg. Basket Count Per Day,% Adequate Capacity,Deviation Adequate Capacity From Chain Avg.,% Insufficient Lanes Open,% Capacity Exceeds Traffic
1,Monday,terminal01,08:00,01:00,20.8%,4,0.00%,,0.00%,100.00%
2,Monday,terminal02,08:00,07:19,1.0%,7,0.00%,,0.00%,100.00%
3,Monday,terminal03,08:00,06:21,0.2%,3,0.00%,,0.00%,100.00%
4,Monday,,24:00,14:40,2.0%,5,0.00%,,0.00%,100.00%
5,Monday,,24:00,14:40,2.0%,5,0.00%,,0.00%,100.00%
6,Tuesday,terminal01,08:00,04:10,5.1%,5,0.00%,,0.00%,100.00%
7,Tuesday,terminal02,08:00,03:53,4.5%,4,0.00%,,0.00%,100.00%
8,Tuesday,terminal03,08:00,03:42,0.0%,0,0.00%,,0.00%,100.00%
9,Tuesday,,24:00,11:45,3.3%,3,0.00%,,0.00%,100.00%
10,Tuesday,,24:00,11:45,3.3%,3,0.00%,,0.00%,100.00%
11,Wednesday,terminal01,08:00,05:28,1.0%,4,0.00%,,0.00%,100.00%
12,Wednesday,terminal02,08:00,05:00,0.0%,1,0.00%,,0.00%,100.00%
13,Wednesday,terminal03,08:00,05:12,0.0%,0,0.00%,,0.00%,100.00%
14,Wednesday,,24:00,15:40,0.4%,2,0.00%,,0.00%,100.00%
15,Wednesday,,24:00,15:40,0.4%,2,0.00%,,0.00%,100.00%
16,Thursday,terminal01,08:00,07:57,18.2%,14,0.00%,,0.00%,100.00%
17,Thursday,terminal02,08:00,08:00,0.4%,6,0.00%,,0.00%,100.00%
18,Thursday,terminal03,08:00,08:00,1.7%,17,0.00%,,0.00%,100.00%
19,Thursday,,24:00,23:57,6.8%,12,0.00%,,0.00%,100.00%
20,Thursday,,24:00,23:57,6.8%,12,0.00%,,0.00%,100.00%
21,Friday,terminal01,08:00,05:50,0.5%,2,0.00%,,0.00%,100.00%
22,Friday,terminal02,08:00,06:23,0.0%,0,0.00%,,0.00%,100.00%
23,Friday,terminal03,08:00,02:00,0.0%,1,0.00%,,0.00%,100.00%
24,Friday,,24:00,14:13,0.2%,1,0.00%,,0.00%,100.00%
25,Friday,,24:00,14:13,0.2%,1,0.00%,,0.00%,100.00%
26,Saturday,terminal01,08:00,08:00,0.0%,0,0.00%,,0.00%,100.00%
27,Saturday,terminal02,08:00,08:00,0.0%,0,0.00%,,0.00%,100.00%
28,Saturday,terminal03,08:00,08:00,0.0%,0,0.00%,,0.00%,100.00%
29,Saturday,,24:00,24:00,0.0%,0,0.00%,,0.00%,100.00%
30,Saturday,,24:00,24:00,0.0%,0,0.00%,,0.00%,100.00%
31,Sunday,terminal01,08:00,08:00,0.0%,0,0.00%,,0.00%,100.00%
32,Sunday,terminal02,08:00,00:00,,0,0.00%,,0.00%,100.00%
33,Sunday,terminal03,08:00,00:00,,0,0.00%,,0.00%,100.00%
34,Sunday,,24:00,08:00,0.0%,0,0.00%,,0.00%,100.00%
35,Sunday,,24:00,08:00,0.0%,0,0.00%,,0.00%,100.00%
,,,168:00,112:15,2.1%,3,0.00%,,0.00%,100.00%
